Complaint,Day,Time,Borough
463606771,7-Jun-16,21:04:00,BROOKLYN
543922814,6-Jun-16,21:34:00,BROOKLYN
118075222,5-Jun-16,4:48:00,BROOKLYN
791425530,5-Jun-16,0:36:00,BROOKLYN
882005095,4-Jun-16,5:50:00,BROOKLYN
936021522,3-Jun-16,1:52:00,MANHATTAN
885359399,1-Jun-16,22:38:00,BROOKLYN
841787838,31-May-16,17:56:00,BROOKLYN
737759309,31-May-16,1:39:00,BROOKLYN
921857030,30-May-16,21:44:00,BRONX
685829077,29-May-16,10:16:00,BROOKLYN
515486108,29-May-16,1:29:00,BRONX
929068545,28-May-16,6:58:00,BROOKLYN
193505426,27-May-16,5:30:00,BRONX
460289295,26-May-16,21:50:00,BRONX
479531208,26-May-16,4:10:00,QUEENS
490038252,25-May-16,22:15:00,MANHATTAN
919398944,20-May-16,7:38:00,STATEN ISLAND
281596419,19-May-16,19:17:00,QUEENS
605725492,19-May-16,17:04:00,BRONX
380219406,19-May-16,3:08:00,BROOKLYN
135057030,4-May-16,5:56:00,BRONX
795107470,18-May-16,23:51:00,BROOKLYN
538607993,18-May-16,19:35:00,BROOKLYN
634977602,17-May-16,1:37:00,BRONX
126210030,14-May-16,10:27:00,STATEN ISLAND
688453832,14-May-16,5:25:00,BROOKLYN
536125298,12-May-16,22:09:00,BROOKLYN
223370930,11-May-16,22:50:00,BRONX
802505433,11-May-16,19:02:00,BRONX
395912492,11-May-16,5:05:00,BRONX
658742912,9-May-16,20:40:00,BRONX
926361825,8-May-16,2:28:00,BROOKLYN
400627835,8-May-16,0:43:00,BROOKLYN
674115148,7-May-16,23:15:00,BRONX
147729340,6-May-16,21:13:00,QUEENS
817285254,3-May-16,10:00:00,BRONX
746031763,2-May-16,10:22:00,BROOKLYN
215478000,29-Apr-16,10:30:00,BROOKLYN
686155680,28-Apr-16,4:14:00,BRONX
696897261,27-Apr-16,22:00:00,BRONX
918697305,26-Apr-16,11:49:00,BROOKLYN
406138980,24-Apr-16,15:08:00,BRONX
953574358,23-Apr-16,6:44:00,BRONX
953611180,21-Apr-16,15:22:00,BROOKLYN
958345238,19-Apr-16,22:40:00,BROOKLYN
827002253,19-Apr-16,1:03:00,BRONX
328803276,18-Apr-16,6:17:00,MANHATTAN
447896787,17-Apr-16,22:32:00,BRONX
245725320,17-Apr-16,2:11:00,MANHATTAN
433580391,16-Apr-16,5:45:00,QUEENS
885557102,15-Apr-16,1:00:00,MANHATTAN
884096342,15-Apr-16,0:02:00,MANHATTAN
482525584,14-Apr-16,22:44:00,MANHATTAN
180025903,14-Apr-16,2:34:00,STATEN ISLAND
930836151,13-Apr-16,22:55:00,BROOKLYN
869991197,12-Apr-16,1:15:00,MANHATTAN
877278271,10-Apr-16,0:05:00,BRONX
744510892,9-Apr-16,3:03:00,QUEENS
502112327,8-Apr-16,22:13:00,BRONX
836034355,4-Apr-16,9:10:00,BROOKLYN
478870978,18-Mar-16,2:58:00,BRONX
815746971,3-Apr-16,5:50:00,BROOKLYN
569774163,1-Apr-16,23:40:00,BROOKLYN
897236438,1-Apr-16,14:10:00,MANHATTAN
737637596,25-Mar-16,16:45:00,MANHATTAN
175002545,24-Mar-16,18:11:00,STATEN ISLAND
600564556,24-Mar-16,18:11:00,STATEN ISLAND
346458205,24-Mar-16,17:07:00,BROOKLYN
321488517,7-Mar-16,7:50:00,BRONX
570319191,19-Mar-16,1:50:00,QUEENS
704712570,17-Mar-16,15:00:00,BRONX
579451536,16-Mar-16,20:53:00,MANHATTAN
638637532,16-Mar-16,19:44:00,MANHATTAN
862019716,14-Mar-16,14:39:00,BROOKLYN
122523428,13-Mar-16,22:07:00,BRONX
770155367,13-Mar-16,20:23:00,BROOKLYN
217401049,12-Mar-16,12:20:00,STATEN ISLAND
257084888,11-Mar-16,20:45:00,QUEENS
152401393,10-Mar-16,23:30:00,BROOKLYN
118654807,10-Mar-16,2:06:00,STATEN ISLAND
378348042,9-Mar-16,21:57:00,MANHATTAN
574926464,9-Mar-16,4:20:00,MANHATTAN
941290784,6-Mar-16,19:20:00,QUEENS
766421164,6-Mar-16,14:55:00,QUEENS
934134219,5-Mar-16,1:45:00,QUEENS
886065012,4-Mar-16,6:01:00,BRONX
421812175,4-Mar-16,0:13:00,STATEN ISLAND
841847428,1-Mar-16,20:00:00,BRONX
419562952,25-Feb-16,17:10:00,BROOKLYN
554721325,22-Feb-16,16:20:00,BRONX
233543195,21-Feb-16,22:03:00,STATEN ISLAND
256557560,17-Feb-16,15:00:00,STATEN ISLAND
880405515,16-Feb-16,19:20:00,BROOKLYN
827530577,15-Feb-16,21:20:00,BROOKLYN
828302047,15-Feb-16,18:50:00,BROOKLYN
583881798,13-Feb-16,17:45:00,BROOKLYN
216777987,13-Feb-16,3:00:00,MANHATTAN
849923364,11-Feb-16,21:39:00,BROOKLYN
642627872,10-Feb-16,8:54:00,STATEN ISLAND
888931169,10-Feb-16,8:54:00,STATEN ISLAND
711724231,10-Feb-16,8:54:00,STATEN ISLAND
556978870,8-Feb-16,2:21:00,BRONX
